ingredient_common_name,INCI_name,molecular_weight_g_per_mol,logP,pKa_primary,acid_base_character,water_solubility_mg_per_mL,oil_solubility_qualitative,recommended_serum_percent_range,recommended_formulation_pH_range,stability_notes,photosensitivity_notes,fitzpatrick_considerations,target_conditions,typical_vehicle_types,vehicle_viscosity_cP_example,particle_or_hydrodynamic_radius_nm,references_or_source_links,estimated_hydrodynamic_radius_nm,estimated_D_25C_m2_per_s
Niacinamide,Niacinamide,122.12,-0.35,N/A (amide),neutral amide,1000+ (freely soluble),low,2–5% (up to 10% with caution),5.0–7.0,Can hydrolyze to nicotinic acid below pH ~4 over time.,Photo-stable; no sensitization reported at cosmetic levels.,Low irritation; supportive for PIH control in IV–VI.,"PIH, redness, barrier support, oil regulation","water gels, serums, emulsions",1–150,N/A (small molecule),PubChem; CIR; CosIng,0.327,7.50e-10
Azelaic Acid,Azelaic Acid,188.22,0.24,pKa1 ~4.55; pKa2 ~5.5,dicarboxylic acid (weak),≈2–3 (low),low–moderate (needs solubilizers),5–15% (Rx 15–20%),4.0–5.5,Better dispersed in emulsions; soluble in polar solvents.,Non-photosensitizing.,Effective for acne/PIH in IV–VI; titrate to limit irritation.,"Acne, rosacea, PIH, texture","emulsions, gels, creams",500–5000,N/A (small molecule),PubChem; CIR; peer-reviewed reviews,0.378,6.49e-10
Turmeric Extract (Curcumin),Curcuma Longa (Turmeric) Root Extract; Curcumin,368.38 (curcumin),≈3.3 (curcumin),multiple phenolic pKa ~8–9,polyphenolic,<0.01 (very low),better in oils/liposomes,0.1–2% (extract-dependent),5.0–7.0,Light/oxidation sensitive; use antioxidants + opaque packaging.,May stain; not photosensitizing at cosmetic levels.,Useful for PIH/soothing; staining risk (temp).,"PIH, inflammation, antioxidant support","o/w emulsions, anhydrous, nanoemulsions, liposomes",50–2000,N/A (unless encapsulated),PubChem; CosIng; review articles,,N/A (mixture/unknown r)
Vitamin C (L-Ascorbic Acid),Ascorbic Acid,176.12,-1.85,≈4.1,weak acid,≈330 (high),very low,10–20% (OTC),2.5–3.5 (water) or anhydrous,Oxidation-prone in water; stabilize or use anhydrous/derivatives.,Photolabile; protect from light/air.,Brightening; low pH may irritate IV–VI—titrate slowly.,"PIH, photoaging, antioxidant, collagen support","anhydrous serums, water serums, emulsions",1–500,N/A (small molecule),PubChem; CIR; derm reviews,0.37,6.63e-10
Alpha Arbutin,Alpha-Arbutin,272.25,≈-1.2,N/A (neutral glycoside),neutral glycoside,high,low,1–2%,4.5–6.5,Avoid strong acid/alkali; stable in typical serums.,Photostable.,Gentle brightener; suitable for IV–VI.,"Hyperpigmentation, uneven tone","water serums, emulsions",1–500,,PubChem; CosIng,0.428,5.73e-10
Kojic Acid,Kojic Acid,142.11,≈-0.9,≈7.9,weak acid (chelating),high (tens to hundreds),low,0.5–2%,4.0–7.0,Can discolor/oxidize; chelation with metals; protect from light.,Generally non-photosensitizing; irritation possible.,Effective for melasma/PIH; patch test in IV–VI.,"PIH, melasma, uneven tone","water serums, creams, gels",1–2000,,PubChem; derm reviews,0.344,7.13e-10
Licorice Root Extract (Glabridin),Glycyrrhiza Glabra (Licorice) Root Extract,Mixture (glabridin 324.4),lipophilic (glabridin ~3–4),N/A (mixture),polyphenolic actives,low–moderate (extract dependent),moderate (lipophilic fraction),0.5–1% extract (actives vary),5.0–7.0,Light/air sensitive; use stabilized extracts.,Non-photosensitizing.,Good tolerability for IV–VI; anti-inflammatory.,"PIH, redness, irritation","emulsions, gels, serums",50–2000,,CosIng; review articles,,N/A (mixture/unknown r)
Glycolic Acid,Glycolic Acid,76.05,-0.62,3.83,alpha-hydroxy acid (AHA),miscible (very high),very low,5–10% (home),3.0–4.0,Stable in water; effective at low pH.,Increases sun sensitivity; daily SPF required.,Higher PIH risk in IV–VI—start low/slow.,"Texture, tone, PIH (gradual)","water serums, lotions, peels",1–1500,,PubChem; derm guidelines,0.28,8.76e-10
Lactic Acid,Lactic Acid,90.08,-0.7,3.86,AHA,miscible (very high),very low,5–10%,3.5–4.5,Stable in water; gentler than glycolic.,Increases sun sensitivity; SPF required.,Gentler AHA; still titrate in IV–VI.,"Texture, hydration, mild PIH","water serums, lotions",1–1500,,PubChem; derm guidelines,0.296,8.29e-10
Salicylic Acid,Salicylic Acid,138.12,≈2.3,2.97,beta-hydroxy acid (BHA),≈2 (low),moderate (oil-soluble),0.5–2%,3.0–4.0,Stable; needs solubilization in water systems.,May increase sun sensitivity; SPF advised.,Good for acne in IV–VI; avoid over-drying to prevent PIH.,"Acne, congestion, PIH (indirect)","alcohol toners, gels, emulsions",1–2000,,PubChem; derm reviews,0.341,7.20e-10
